GLON,GLAT,RECNO,ASSOC_3FGL,VHE,Cln,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XGP,logCpt,FRad,n_FRad,FX,Vmag1,Vmag2,ARO,AOX
116.0047,+80.2621,     920,J1256.9+3649 ,  0,Y,1RXS J125716.0+364713     ,194.31910,+36.78748, 0.076, 0.062,bll    ,HSP,14.985,15.170, 0.53100, 0.917, 0.000, 0.000,-0.150,    72.67,N,   7.070,17.645,17.260, 0.40, 1.38
121.4601,+55.7614,     921,J1258.0+6120 ,  0,Y,NVSS J125820+612049       ,194.58659,+61.34706, 0.031, 0.089,bll    ,ISP,14.460,14.548, 0.22400, 0.996, 0.000, 0.000,-0.288,    10.31,N,        ,18.415,22.020, 0.73,
108.5670,+84.4539,     922,J1258.1+3233 ,  0,Y,ON 393                    ,194.48847,+32.49148, 0.076, 0.066,fsrq   ,LSP,13.120,13.377, 0.80600, 0.946, 0.890, 0.000, 0.378,   652.56,N,   4.980,18.205,18.390, 0.73, 1.18
305.3465,+44.8371,     923,J1258.6-1800 ,  0,Y,PKS B1256-177             ,194.65959,-18.00087, 0.010, 0.053,fsrq   ,LSP,12.450,12.921, 1.95600, 1.000, 0.924, 0.000, 1.488,   359.31,N,        ,      ,      ,     ,
120.3329,+65.3859,     924,J1258.7+5137 ,  0,Y,NVSS J125825+514225       ,194.60600,+51.70713, 0.098, 0.098,bcu III,-  ,      ,      ,        , 0.998, 0.000, 0.000,-2.409,    50.64,N,        ,19.680,18.580, 0.43,
305.2044,+40.5135,     925,J1258.7-2219 ,  0,Y,PKS 1256-220              ,194.72699,-22.32531, 0.031, 0.043,fsrq   ,LSP,12.960,13.322, 1.30300, 0.999, 0.947, 0.000, 0.598,   792.86,N,        ,18.965,      , 0.78, 1.32
305.2317,+39.6599,     926,J1259.0-2310 ,  0,Y,PKS B1256-229             ,194.78526,-23.17740, 0.013, 0.062,bcu I  ,LSP,13.452,13.623, 0.48100, 0.999, 0.928, 0.000,-0.627,   482.64,N,        ,16.491,      , 0.50,
304.7609,+25.0258,     927,J1259.8-3749 ,  0,Y,NVSS J125949-374856       ,194.95751,-37.81616, 0.010, 0.052,bcu II ,ISP,14.626,14.626,        , 1.000, 0.000, 0.000,-0.010,    27.05,N,        ,17.353,      , 0.32,
312.5666,+76.9932,     928,J1300.2+1416 ,  0,N,OW 197                    ,195.08716,+14.28848, 0.023, 0.173,fsrq   ,LSP,12.680,13.003, 1.10600, 0.993, 0.872, 0.000, 2.947,   559.63,N,   6.950,18.533,18.530, 0.72, 1.09
312.9250,+76.9835,     929,J1300.2+1416 ,  0,N,NVSS J130041+141728       ,195.17099,+14.29150, 0.102, 0.173,bcu II ,LSP,13.050,13.050,        , 0.958, 0.000, 0.000, 3.175,   100.97,N,        ,      ,20.030, 0.67, 0.99
